State,District,Year,Crop,Area,Production,Ratio,Avg Month Temp,annual-min,annual-max,min-temp,max-temp,month,week
Maharashtra,Ratnagiri,1901,Rice,89692,689597,7.688500647,21.205,28.36,22.5,19.74,22.67,january ,one 
Maharashtra,Ratnagiri,1901,Rice,99803,879006,8.807410599,27.24,28.05,17.24,25.94,28.54,january ,two 
Maharashtra,Ratnagiri,1901,Rice,79021,372668,4.716062819,18.91,18.55,25.34,17.43,20.39,january ,three
Maharashtra,Ratnagiri,1901,Rice,66091,926516,14.01879227,23.365,16.04,25.37,17.36,29.37,january ,four
Maharashtra,Ratnagiri,1901,Rice,83678,278921,3.333265613,22.065,18.65,16.8,27.73,16.4,february ,one 
Maharashtra,Ratnagiri,1901,Rice,93955,770321,8.198829227,21,25.9,22.24,22.54,19.46,february ,two 
Maharashtra,Ratnagiri,1901,Rice,84446,318613,3.772979182,21.715,24.17,23.43,18.27,25.16,february ,three
Maharashtra,Ratnagiri,1901,Rice,92253,608808,6.599330103,23.885,26.1,28.75,29.75,18.02,february ,four
Maharashtra,Ratnagiri,1901,Rice,87874,224401,2.553667752,18.305,28.54,27.56,19.33,17.28,march ,one 
Maharashtra,Ratnagiri,1901,Rice,81262,522375,6.428281362,20.3,16.03,23.05,23.96,16.64,march ,two 
Maharashtra,Ratnagiri,1901,Rice,92800,235772,2.540646552,18.59,16.05,29,16.61,20.57,march ,three
Maharashtra,Ratnagiri,1901,Rice,88433,466485,5.27501046,19.71,21.74,15.79,21.05,18.37,march ,four
Maharashtra,Ratnagiri,1901,Rice,57345,714424,12.45834859,17.49,18.94,22.5,17.67,17.31,april,one 
Maharashtra,Ratnagiri,1901,Rice,59091,503993,8.529099186,19.82,20.75,27.46,18.56,21.08,april,two 
Maharashtra,Ratnagiri,1901,Rice,89490,529957,5.921968935,24.31,24.59,25.62,24.45,24.17,april,three
Maharashtra,Ratnagiri,1901,Rice,83414,317271,3.803570144,17.56,16.62,29.13,19.92,15.2,april,four
Maharashtra,Ratnagiri,1901,Rice,94512,265039,2.804289402,25.085,16.89,25.47,26.03,24.14,may,one 
Maharashtra,Ratnagiri,1901,Rice,95648,486902,5.090561224,26.07,17.32,26.55,28.9,23.24,may,two 
Maharashtra,Ratnagiri,1901,Rice,95249,345236,3.624562988,18.015,15.1,27.75,19.67,16.36,may,three
Maharashtra,Ratnagiri,1901,Rice,68149,203006,2.978855156,19.69,26.48,21.8,17.71,21.67,may,four
Maharashtra,Ratnagiri,1901,Rice,88841,383638,4.318253959,24.845,17.68,21.22,27.68,22.01,june,one 
Maharashtra,Ratnagiri,1901,Rice,89933,996565,11.08119378,25.74,24.16,27.82,23.83,27.65,june,two 
Maharashtra,Ratnagiri,1901,Rice,72627,938919,12.92796068,20.73,22.05,19.87,26.19,15.27,june,three
Maharashtra,Ratnagiri,1901,Rice,92782,410735,4.426882369,19.155,22.19,23.36,16.67,21.64,june,four
Maharashtra,Ratnagiri,1901,Rice,99592,221806,2.227146759,20.485,20.94,29.97,21.95,19.02,july,one 
Maharashtra,Ratnagiri,1901,Rice,87520,635653,7.262945612,20.115,19.19,17.32,15.28,24.95,july,two 
Maharashtra,Ratnagiri,1901,Rice,58732,748471,12.74383641,21.535,15.63,28.44,19.31,23.76,july,three
Maharashtra,Ratnagiri,1901,Rice,70604,677127,9.590490624,27.535,24.61,18.57,26.85,28.22,july,four
Maharashtra,Ratnagiri,1901,Rice,61734,480939,7.790504422,23.465,23.19,15.61,20.52,26.41,august,one 
Maharashtra,Ratnagiri,1901,Rice,87481,913449,10.44168448,27.51,24.54,24.59,28.38,26.64,august,two 
Maharashtra,Ratnagiri,1901,Rice,50179,505479,10.07351681,23.405,26.91,28.25,28.18,18.63,august,three
Maharashtra,Ratnagiri,1901,Rice,74464,933863,12.54113397,28.7,29.71,23.37,28.49,28.91,august,four
Maharashtra,Ratnagiri,1901,Rice,56591,343765,6.074552491,22.34,19.65,28.47,16.22,28.46,september,one 
Maharashtra,Ratnagiri,1901,Rice,89297,957407,10.72160319,23.04,21.69,18.11,24.19,21.89,september,two 
Maharashtra,Ratnagiri,1901,Rice,82306,480992,5.843948193,19.825,15.3,17.04,21.14,18.51,september,three
Maharashtra,Ratnagiri,1901,Rice,92483,451051,4.877123363,22.905,21.61,18.27,16.88,28.93,september,four
Maharashtra,Ratnagiri,1901,Rice,86047,398798,4.634653155,21.315,20.94,19.01,24.6,18.03,october,one 
Maharashtra,Ratnagiri,1901,Rice,60265,829264,13.76029204,21.925,16.97,24.77,18.47,25.38,october,two 
Maharashtra,Ratnagiri,1901,Rice,87941,413490,4.701902412,27.315,19.9,17.78,29.49,25.14,october,three
Maharashtra,Ratnagiri,1901,Rice,67843,365598,5.388883157,20.425,27.44,16.25,20.69,20.16,october,four
Maharashtra,Ratnagiri,1901,Rice,60854,491179,8.071433267,20.845,27.91,26.8,23.06,18.63,november,one 
Maharashtra,Ratnagiri,1901,Rice,56822,236672,4.165147302,19.21,27.5,15.62,19.2,19.22,november,two 
Maharashtra,Ratnagiri,1901,Rice,60780,383734,6.31349128,22.27,23.24,29.39,27.45,17.09,november,three
Maharashtra,Ratnagiri,1901,Rice,82514,287072,3.479070218,22.02,16.96,21.6,15.1,28.94,november,four
Maharashtra,Ratnagiri,1901,Rice,73399,363828,4.956852273,21.385,24.13,29.03,23.01,19.76,december,one 
Maharashtra,Ratnagiri,1901,Rice,93903,934144,9.947967584,23.975,15.53,23.43,27.54,20.41,december,two 
Maharashtra,Ratnagiri,1901,Rice,67183,288888,4.300016373,26.265,26.09,15.32,28.05,24.48,december,three
Maharashtra,Ratnagiri,1901,Rice,65630,448596,6.835227792,18.165,22.84,22.54,18.1,18.23,december,four
Maharashtra,Ratnagiri,1902,Rice,84195,637111,7.567088307,20.38,25.63,22.16,25.75,15.01,january ,one 
Maharashtra,Ratnagiri,1902,Rice,96484,960227,9.952188964,22.595,29.12,24.07,21.73,23.46,january ,two 
Maharashtra,Ratnagiri,1902,Rice,66441,437626,6.586685932,25.195,28.07,26.18,20.55,29.84,january ,three
Maharashtra,Ratnagiri,1902,Rice,59375,581478,9.793313684,18.115,26.97,16.69,18.89,17.34,january ,four
Maharashtra,Ratnagiri,1902,Rice,50834,500779,9.851260967,22.88,27.94,26.69,28.55,17.21,february ,one 
Maharashtra,Ratnagiri,1902,Rice,69345,525322,7.575484894,15.9,27.41,15.95,16.71,15.09,february ,two 
Maharashtra,Ratnagiri,1902,Rice,52951,314417,5.93788597,25.9,25.02,18.85,24.67,27.13,february ,three
Maharashtra,Ratnagiri,1902,Rice,71882,561928,7.817367352,17.875,24.45,29.07,16.47,19.28,february ,four
Maharashtra,Ratnagiri,1902,Rice,96428,836378,8.673601029,18.805,28.67,24.28,20.39,17.22,march ,one 
Maharashtra,Ratnagiri,1902,Rice,74391,550749,7.4034359,26.505,20.47,27.34,27.13,25.88,march ,two 
Maharashtra,Ratnagiri,1902,Rice,63194,303247,4.798667595,16.95,28.92,22.89,17.5,16.4,march ,three
Maharashtra,Ratnagiri,1902,Rice,58816,254960,4.334874864,20.415,23.7,26.67,24.25,16.58,march ,four
